application,original_relative_path,archive_member,source_compression,stored_sha256,logical_sha256,logical_size_bytes
utility_restoration,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-age_of_information-e27491322545-uint8_simplex-frozen_local_rule/causal_chains.json.gz,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-age_of_information-e27491322545-uint8_simplex-frozen_local_rule/causal_chains.json,gzip,e2a1fe1a898da9a74be6af3b67dc4a4cb196c1bbc036e29809090779c0f57930,101618803b9c66a0896d375f68d00e8ae68ab50d871d1a5f4023bc6d5bf1a801,39921
utility_restoration,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-age_of_information-e27491322545-uint8_simplex-frozen_local_rule/decisions.csv.gz,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-age_of_information-e27491322545-uint8_simplex-frozen_local_rule/decisions.csv,gzip,8ebb43b35dbcf5a4cf4d40a02fd4134fea8b7952703b4e45d9dda49d2a6887c0,4777382aa8d90982fbbca6367db0b729bd7ed299ec0427147f077ebccd412a48,204555
utility_restoration,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-age_of_information-e27491322545-uint8_simplex-frozen_local_rule/deliveries.csv.gz,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-age_of_information-e27491322545-uint8_simplex-frozen_local_rule/deliveries.csv,gzip,8f31fd2c4c69cd7619b7d2623bf23c54eeb4a490be1b77cc1e4c74d2176b5dec,022aec274b0af62cb91cd982a29b1c6f0c8e9fd605ed1778e4df2cc106bc9d83,660257
utility_restoration,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-age_of_information-e27491322545-uint8_simplex-frozen_local_rule/edge_communication.csv.gz,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-age_of_information-e27491322545-uint8_simplex-frozen_local_rule/edge_communication.csv,gzip,ede87942b608027de37ddf250054291eb8b80a19911bf42c72dc41df98f4e832,5861d22ef3631dff20faece50d4c29af1ec8ba5cf996256c6b47310bfb153bf8,9850
utility_restoration,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-age_of_information-e27491322545-uint8_simplex-frozen_local_rule/episode.json,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-age_of_information-e27491322545-uint8_simplex-frozen_local_rule/episode.json,plain,b793b5205e6118c895972599a2ccaa34a3dce6f3abd17a409e04024b5d715010,b793b5205e6118c895972599a2ccaa34a3dce6f3abd17a409e04024b5d715010,7424
utility_restoration,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-age_of_information-e27491322545-uint8_simplex-frozen_local_rule/estimation.csv.gz,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-age_of_information-e27491322545-uint8_simplex-frozen_local_rule/estimation.csv,gzip,38c8c0dac7627c562e749c09cf32df6152f3405e4a83fbdc19909e6364f8d91a,fcd19ed9b616dd8e760e6f3ca1ccdfdac107751a73e4cfadf0072314b5284869,424801
utility_restoration,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-age_of_information-e27491322545-uint8_simplex-frozen_local_rule/events.jsonl.xz,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-age_of_information-e27491322545-uint8_simplex-frozen_local_rule/events.jsonl,xz,1b4af1396bf2a2c61f58806d37b49473e258745c52de0572c4d056bbc85e32d3,25cb5ab772f602a76cb4a90f9e3bff6c1af709912e0c7c3ae6c28b6b68b6502e,12167722
utility_restoration,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-age_of_information-e27491322545-uint8_simplex-frozen_local_rule/triggers.csv.gz,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-age_of_information-e27491322545-uint8_simplex-frozen_local_rule/triggers.csv,gzip,108f099fdf56ff42b88f835ed424404a15a7aab561ca7759ca1f5cb7c72c1669,251d5fb50fd45307478bb67b287c01a347b2d767c4de0fa2faea1849685de535,176921
utility_restoration,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/causal_chains.json.gz,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/causal_chains.json,gzip,e2a1fe1a898da9a74be6af3b67dc4a4cb196c1bbc036e29809090779c0f57930,101618803b9c66a0896d375f68d00e8ae68ab50d871d1a5f4023bc6d5bf1a801,39921
utility_restoration,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/decisions.csv.gz,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/decisions.csv,gzip,4950e908e4f6373a411d73076ade829bd01f30bbd70b9edf1ea7f9c785104a7f,c6ebf7725ab1178c676f37378ab5c83ff69f0c9f21f858e585da6d4cc4a62495,195195
utility_restoration,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/deliveries.csv.gz,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/deliveries.csv,gzip,5bc25b5a74361531d47543233e237f324464915c53f7df1b23dda17c4ba751dc,812ac72178ce334c4675e4f299eab0fbc9d0a8cc04ea923913cd6d3e1203e3a5,1166929
utility_restoration,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/edge_communication.csv.gz,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/edge_communication.csv,gzip,c9b8a7469ead8ed4bc281ed28a584ad36456cef3351243c880dea75e690cf7fc,82f2e475572a056a66ef1994250390119e0dd157e0a3610910101e529981d706,9897
utility_restoration,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/episode.json,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/episode.json,plain,b50d2597dd0cd0be989c76b6f455ad7a61ecfb539441d87700bcec980723ef58,b50d2597dd0cd0be989c76b6f455ad7a61ecfb539441d87700bcec980723ef58,7269
utility_restoration,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/estimation.csv.gz,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/estimation.csv,gzip,38c8c0dac7627c562e749c09cf32df6152f3405e4a83fbdc19909e6364f8d91a,fcd19ed9b616dd8e760e6f3ca1ccdfdac107751a73e4cfadf0072314b5284869,424801
utility_restoration,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/events.jsonl.xz,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/events.jsonl,xz,3f8f74fa158fde3b6e8c5e4e9bdd6b95bd6fae2d5910b722dbe4297d3548e7ed,23f79fe7737ab7e5630f124f526c5a8c104a613167997386749a979d4bf41fc5,15952182
utility_restoration,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/triggers.csv.gz,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/triggers.csv,gzip,59900c5050765263e46d2281a0854f3955c6f6e5c79f16f4141543737b0d1ad6,d194399f9fa96a1380c541afd89b22e01f061e89f537021e2ec936822838f323,162171
utility_restoration,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/causal_chains.json.gz,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/causal_chains.json,gzip,e2a1fe1a898da9a74be6af3b67dc4a4cb196c1bbc036e29809090779c0f57930,101618803b9c66a0896d375f68d00e8ae68ab50d871d1a5f4023bc6d5bf1a801,39921
utility_restoration,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/decisions.csv.gz,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/decisions.csv,gzip,f7cb9b7979dc8b38197abab6f2d9ae5eefa955e609d6a4f797ec81dcd3ed23f2,94bd10e1391b07df95b8439683459c68890d8a2b9d34d3674ec173a00d796be2,209755
utility_restoration,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/deliveries.csv.gz,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/deliveries.csv,gzip,54343daa1458ea8b908c19b17eb5887820928b33fdebc43198ba2fbdebef5684,58b6825f010a932bcc099698b85f1d1fc29afb9d895dc30adb2fddcc53d2daf5,889722
utility_restoration,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/edge_communication.csv.gz,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/edge_communication.csv,gzip,f5bdf93a5f7397bdf9d1fae2d8fec48aa6f17b0864bd3696223cd0fe236250b0,31f6c3515ce5a06ba208647725bb7f71e7c2c00e9683929b1f74109605f33d2c,9890
utility_restoration,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/episode.json,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/episode.json,plain,b22548b106df1a75ac5ab21f535419d6222a78524757c17bc7ad3e92a671a4b5,b22548b106df1a75ac5ab21f535419d6222a78524757c17bc7ad3e92a671a4b5,7514
utility_restoration,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/estimation.csv.gz,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/estimation.csv,gzip,38c8c0dac7627c562e749c09cf32df6152f3405e4a83fbdc19909e6364f8d91a,fcd19ed9b616dd8e760e6f3ca1ccdfdac107751a73e4cfadf0072314b5284869,424801
utility_restoration,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/events.jsonl.xz,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/events.jsonl,xz,6ebdf4fdb15c47051097215bfd4dd6d3424acfb8eafb662149e9fbb9e9128972,e2389bcc8955fb58803cea1d82fc855401174a46443da11997cbc9c5823c7845,13958718
utility_restoration,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/triggers.csv.gz,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/triggers.csv,gzip,081c420189001ccf423d3fc6abdb7d3e89341f45be6fd9f9b218ca83c4586bf4,2a6d9382c1f9bab18c86d775893c3ead9f9b350e90baeac99beacec1d1fbffcd,198180
utility_restoration,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-js_drift-565d3b5e7ead-uint8_simplex-frozen_local_rule/causal_chains.json.gz,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-js_drift-565d3b5e7ead-uint8_simplex-frozen_local_rule/causal_chains.json,gzip,e2a1fe1a898da9a74be6af3b67dc4a4cb196c1bbc036e29809090779c0f57930,101618803b9c66a0896d375f68d00e8ae68ab50d871d1a5f4023bc6d5bf1a801,39921
utility_restoration,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-js_drift-565d3b5e7ead-uint8_simplex-frozen_local_rule/decisions.csv.gz,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-js_drift-565d3b5e7ead-uint8_simplex-frozen_local_rule/decisions.csv,gzip,b21174dc528ddb7fc0806e512d93171f4ba5ef481beb68737b22e8345d85ba2e,025e512cd226aaa63e0bf33c4870421011c1c57b5cd84a4a27c24824f6584bf8,194155
utility_restoration,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-js_drift-565d3b5e7ead-uint8_simplex-frozen_local_rule/deliveries.csv.gz,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-js_drift-565d3b5e7ead-uint8_simplex-frozen_local_rule/deliveries.csv,gzip,1ffce547c07df98ca74b76f5850975bbfff94a7f0f3fa9d82ec962b141e22d0a,4df34382b03ece5ac59e15ea87951efd694f99736e04ceba4cab423bb12e01bd,829455
utility_restoration,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-js_drift-565d3b5e7ead-uint8_simplex-frozen_local_rule/edge_communication.csv.gz,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-js_drift-565d3b5e7ead-uint8_simplex-frozen_local_rule/edge_communication.csv,gzip,8fda6f99f6f10da7323907032509f025d4229165816215d307ea908eee525674,526d70533681bfa30108af9fd1f4054d94008efcaabc56005421fb148edf7976,9881
utility_restoration,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-js_drift-565d3b5e7ead-uint8_simplex-frozen_local_rule/episode.json,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-js_drift-565d3b5e7ead-uint8_simplex-frozen_local_rule/episode.json,plain,5484e86f07d89bef0179ac373ddb70804438df0441de2cbec28bf876851760bf,5484e86f07d89bef0179ac373ddb70804438df0441de2cbec28bf876851760bf,7330
utility_restoration,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-js_drift-565d3b5e7ead-uint8_simplex-frozen_local_rule/estimation.csv.gz,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-js_drift-565d3b5e7ead-uint8_simplex-frozen_local_rule/estimation.csv,gzip,38c8c0dac7627c562e749c09cf32df6152f3405e4a83fbdc19909e6364f8d91a,fcd19ed9b616dd8e760e6f3ca1ccdfdac107751a73e4cfadf0072314b5284869,424801
utility_restoration,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-js_drift-565d3b5e7ead-uint8_simplex-frozen_local_rule/events.jsonl.xz,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-js_drift-565d3b5e7ead-uint8_simplex-frozen_local_rule/events.jsonl,xz,6b5cc008d53bec0db1c647e72c274ba33bd0053842273123c1c57325a10b28ea,a4560403614cca6271f4c518c820134495addcfd3daeffa024de5fb4f6a0b446,13465971
utility_restoration,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-js_drift-565d3b5e7ead-uint8_simplex-frozen_local_rule/triggers.csv.gz,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-js_drift-565d3b5e7ead-uint8_simplex-frozen_local_rule/triggers.csv,gzip,564663398c446877361af64914a2f514e98314b65b2d4655d6c5ed7d18360c55,7bee870e9d73ad60fb5d9d3eedee5442f1e921ca9da69dd9d279699245fc0497,172952
utility_restoration,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-kpi_change-314c8c128df2-uint8_simplex-frozen_local_rule/causal_chains.json.gz,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-kpi_change-314c8c128df2-uint8_simplex-frozen_local_rule/causal_chains.json,gzip,e2a1fe1a898da9a74be6af3b67dc4a4cb196c1bbc036e29809090779c0f57930,101618803b9c66a0896d375f68d00e8ae68ab50d871d1a5f4023bc6d5bf1a801,39921
utility_restoration,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-kpi_change-314c8c128df2-uint8_simplex-frozen_local_rule/decisions.csv.gz,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-kpi_change-314c8c128df2-uint8_simplex-frozen_local_rule/decisions.csv,gzip,ebbbdec29d2330deec211185ea8f86a02ebf7ccae0ab3b1de79e859669bcdada,83df9efca13c7e7697673a027bab5b5c8794b0943b3cdf90e0b520038538196d,196235
utility_restoration,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-kpi_change-314c8c128df2-uint8_simplex-frozen_local_rule/deliveries.csv.gz,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-kpi_change-314c8c128df2-uint8_simplex-frozen_local_rule/deliveries.csv,gzip,779164cc4d9a8035e1a5ae9453e9470e26a3011a2e633f9e683f0c876b0eefd9,6cb0674815f6df1c5c72489079a49eec94575b49aaeb017effed0d4948be141b,841154
utility_restoration,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-kpi_change-314c8c128df2-uint8_simplex-frozen_local_rule/edge_communication.csv.gz,v8-development-utility_restoration-large-high-high-high-grid-private_fragmented-8811019-kpi_change-314c8c128df2-uint8_simplex-frozen_local_rule/edge_communication.csv,gzip,a8b75be7febb17966859278b40ad2cbd48d0b5779f8e3d9a2c9c4da73eb9024e,dbbaa10c1c0f8094f849ed8eb517b3b3b73d321c7ff26357d884000ade888923,9881
