table,description
tables/experimental_design.csv,All executed and prospectively locked stages with episode and decision counts.
tables/entropy_measure_definitions.csv,Mathematical definition and inferential role of each uncertainty measure.
tables/risk_coverage_primary_effects.csv,Paired static selective-risk effects at fixed coverage.
tables/risk_prediction_metrics.csv,"Cluster-isolated AP, ROC AUC, and Brier metrics for every feature block and baseline."
tables/entropy_family_comparison.csv,"Prespecified Shannon, Tsallis, Gini-Simpson, Jensen-Tsallis, and graph-disagreement comparisons."
tables/low_consensus_abstention.csv,Coverage-controlled low-consensus abstention and bounded escalation accounting.
tables/dynamic_paired_effects.csv,"Primary full-horizon paired harm, utility, service, coverage, and workload effects."
tables/regime_dynamic_effects.csv,Dynamic effects stratified by disruption regime.
tables/fragmentation_interaction.csv,Prespecified private-fragmented versus public-shared interaction.
tables/trigger_timing.csv,"Activation, false-alarm, escalation-burden, and queue timing by application and information condition."
tables/sketch_communication_costs.csv,"Sketch messages, bytes, and latency including all monitoring traffic."
tables/distributed_estimation_error.csv,"Consensus estimation error for none, periodic, event-triggered, and always-on sketches."
tables/refit_permutation_family_test.csv,Full-refit stratified generalized-family permutation test with Holm adjustment.
tables/development_gate_checks.csv,"Every frozen gate condition, observed value, requirement, and pass/fail result."
tables/rl_seed_manifest.csv,"All learned methods and independent seeds, including failures and checksums."
tables/dynamic_action_accounting.csv,"Typed, physical, beneficial, neutral, harmful, service-reaching, and commitment-changing actions."
tables/qwen_agent_qualification.csv,Substantial pinned-Qwen behavioral and causal qualification by application.
tables/compute_token_communication_accounting.csv,"Episodes, messages, bytes, tokens, calls, wall time, GPU-hours, and estimated cost."
tables/hypothesis_outcomes.csv,Evidence-calibrated disposition of each preregistered V6 hypothesis.
