application,original_relative_path,archive_member,source_compression,stored_sha256,logical_sha256,logical_size_bytes
utility_restoration,v8-hysteresis_repair_pilot_v3-utility_restoration-large-high-high-high-scale_free-private_fragmented-8812506-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/causal_chains.json.gz,v8-hysteresis_repair_pilot_v3-utility_restoration-large-high-high-high-scale_free-private_fragmented-8812506-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/causal_chains.json,gzip,a4c36b53b2d8d06f487706e945dcb92fb7bb59a2e4e6994185bd4506b45025da,0fefd0fe44417fadedf02bf8621160663e4997961e50884be95e0ac6af34f8f2,42494
utility_restoration,v8-hysteresis_repair_pilot_v3-utility_restoration-large-high-high-high-scale_free-private_fragmented-8812506-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/decisions.csv.gz,v8-hysteresis_repair_pilot_v3-utility_restoration-large-high-high-high-scale_free-private_fragmented-8812506-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/decisions.csv,gzip,960d680c1699817a70da53dd73a7940cd642231b7dd073bd428dec3e3e70a86a,48f1eba8397aa29db242aa2003331214eabcf8f4cdc4e4e4d04c28c6394d8bb2,195508
utility_restoration,v8-hysteresis_repair_pilot_v3-utility_restoration-large-high-high-high-scale_free-private_fragmented-8812506-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/deliveries.csv.gz,v8-hysteresis_repair_pilot_v3-utility_restoration-large-high-high-high-scale_free-private_fragmented-8812506-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/deliveries.csv,gzip,17a3fa939ac67d9893f2de3eb395bde047100614a18eaeeb2cb1f7b74cd79803,e7f8458c86986bd71e0d37241385ad91a95905969d5bda6595f7d8b84e9b1054,16641080
utility_restoration,v8-hysteresis_repair_pilot_v3-utility_restoration-large-high-high-high-scale_free-private_fragmented-8812506-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/edge_communication.csv.gz,v8-hysteresis_repair_pilot_v3-utility_restoration-large-high-high-high-scale_free-private_fragmented-8812506-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/edge_communication.csv,gzip,a9aeb2f4287a7974be45859af4b7bc75ced0f862c7391f1b71e0ae199c67bc8b,727f4224d908baeeecdb9fdc2cd41639711c1ce1efaf41795c280f9f11787351,17085
utility_restoration,v8-hysteresis_repair_pilot_v3-utility_restoration-large-high-high-high-scale_free-private_fragmented-8812506-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/episode.json,v8-hysteresis_repair_pilot_v3-utility_restoration-large-high-high-high-scale_free-private_fragmented-8812506-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/episode.json,plain,2eec1eec0a2784056f0bccc77a68785ca79ff73c77bb9f237ebba78ede42f653,2eec1eec0a2784056f0bccc77a68785ca79ff73c77bb9f237ebba78ede42f653,7918
utility_restoration,v8-hysteresis_repair_pilot_v3-utility_restoration-large-high-high-high-scale_free-private_fragmented-8812506-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/estimation.csv.gz,v8-hysteresis_repair_pilot_v3-utility_restoration-large-high-high-high-scale_free-private_fragmented-8812506-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/estimation.csv,gzip,65f106b310edaa921afb30f9a3c6be3abbcd4f34fbc795186d03d837176e8d8a,54417258f455c7b3c8e030874f814411e1b276ae2439065a177617ca35683e43,445515
utility_restoration,v8-hysteresis_repair_pilot_v3-utility_restoration-large-high-high-high-scale_free-private_fragmented-8812506-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/events.jsonl.xz,v8-hysteresis_repair_pilot_v3-utility_restoration-large-high-high-high-scale_free-private_fragmented-8812506-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/events.jsonl,xz,db240a6b9e7f44691cf7629ba0390f29a201925ab0e9427d3a757bf555a45a25,81256d5993ff0ed361075ad5dbc138345433f70c65429a76a6fc06fb4dbc9811,127347567
utility_restoration,v8-hysteresis_repair_pilot_v3-utility_restoration-large-high-high-high-scale_free-private_fragmented-8812506-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/triggers.csv.gz,v8-hysteresis_repair_pilot_v3-utility_restoration-large-high-high-high-scale_free-private_fragmented-8812506-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/triggers.csv,gzip,97bdad1b28f6ae29bc70bb65bba22e13f5050cc78858dcad3b6764fe34635f29,6edb3bea947568ba78ddbc9f7a1a5029b0e0e00630beaba5b7071a89c406311f,180405
utility_restoration,v8-hysteresis_repair_pilot_v3-utility_restoration-large-high-high-high-scale_free-private_fragmented-8812506-generalized_information-51c1900045ef-uint8_simplex-frozen_local_rule/causal_chains.json.gz,v8-hysteresis_repair_pilot_v3-utility_restoration-large-high-high-high-scale_free-private_fragmented-8812506-generalized_information-51c1900045ef-uint8_simplex-frozen_local_rule/causal_chains.json,gzip,3d9681e22dafc9658b72293d764f308d032d657f8722e02f6baad9a6a34e002d,24ccfef91011f3737dd58e1a03785a87ff517e075073eb671c271063066c2cef,41735
utility_restoration,v8-hysteresis_repair_pilot_v3-utility_restoration-large-high-high-high-scale_free-private_fragmented-8812506-generalized_information-51c1900045ef-uint8_simplex-frozen_local_rule/decisions.csv.gz,v8-hysteresis_repair_pilot_v3-utility_restoration-large-high-high-high-scale_free-private_fragmented-8812506-generalized_information-51c1900045ef-uint8_simplex-frozen_local_rule/decisions.csv,gzip,d0a6c926c7eb7ea319e1052516ab5456c27bc5bcc2585f78266cd8243e7ea272,c6963ee3f63a1192e328f34594678f86bdfca836d19d436a495bb7cc1abd5bc4,210121
utility_restoration,v8-hysteresis_repair_pilot_v3-utility_restoration-large-high-high-high-scale_free-private_fragmented-8812506-generalized_information-51c1900045ef-uint8_simplex-frozen_local_rule/deliveries.csv.gz,v8-hysteresis_repair_pilot_v3-utility_restoration-large-high-high-high-scale_free-private_fragmented-8812506-generalized_information-51c1900045ef-uint8_simplex-frozen_local_rule/deliveries.csv,gzip,27b9fb9f32ace28725a0ee5205d41229f18b6381b0c158a6e6fc2a77e69b65e5,0f9a27574905295c852d8a59a8ce76de627692985128f71564f569ad6aa91f0c,14506092
utility_restoration,v8-hysteresis_repair_pilot_v3-utility_restoration-large-high-high-high-scale_free-private_fragmented-8812506-generalized_information-51c1900045ef-uint8_simplex-frozen_local_rule/edge_communication.csv.gz,v8-hysteresis_repair_pilot_v3-utility_restoration-large-high-high-high-scale_free-private_fragmented-8812506-generalized_information-51c1900045ef-uint8_simplex-frozen_local_rule/edge_communication.csv,gzip,11f85b0e0ed8781e89124666f204ce6d13fc1a3615f7b6033e87f0f3c144cacc,0f319a240a67b425dc6213e01729e030d3c038809b62126d7200c6db5bd14a84,17049
utility_restoration,v8-hysteresis_repair_pilot_v3-utility_restoration-large-high-high-high-scale_free-private_fragmented-8812506-generalized_information-51c1900045ef-uint8_simplex-frozen_local_rule/episode.json,v8-hysteresis_repair_pilot_v3-utility_restoration-large-high-high-high-scale_free-private_fragmented-8812506-generalized_information-51c1900045ef-uint8_simplex-frozen_local_rule/episode.json,plain,ed7ca87b571211959cad6f82f51d26b21757aae9fe75677645860cafe08e44bd,ed7ca87b571211959cad6f82f51d26b21757aae9fe75677645860cafe08e44bd,8174
utility_restoration,v8-hysteresis_repair_pilot_v3-utility_restoration-large-high-high-high-scale_free-private_fragmented-8812506-generalized_information-51c1900045ef-uint8_simplex-frozen_local_rule/estimation.csv.gz,v8-hysteresis_repair_pilot_v3-utility_restoration-large-high-high-high-scale_free-private_fragmented-8812506-generalized_information-51c1900045ef-uint8_simplex-frozen_local_rule/estimation.csv,gzip,46d548b81085f1da8af54cdbc621bcddc91733974eea1163bf2b6ee855d28782,a1daec65e175c2586187eb80168d0bd75db549908b4ad3547ece3c1ec34aaae2,444893
utility_restoration,v8-hysteresis_repair_pilot_v3-utility_restoration-large-high-high-high-scale_free-private_fragmented-8812506-generalized_information-51c1900045ef-uint8_simplex-frozen_local_rule/events.jsonl.xz,v8-hysteresis_repair_pilot_v3-utility_restoration-large-high-high-high-scale_free-private_fragmented-8812506-generalized_information-51c1900045ef-uint8_simplex-frozen_local_rule/events.jsonl,xz,3253abec19a35f620d00f798384b672e43c3ceab01ab8a8c2b4b93fff00f4b24,6290f72cb666ad3fa0ed2a0be628ef25bb6e3d4769f1c2a6ad7cb1e484ffa7e0,111520732
utility_restoration,v8-hysteresis_repair_pilot_v3-utility_restoration-large-high-high-high-scale_free-private_fragmented-8812506-generalized_information-51c1900045ef-uint8_simplex-frozen_local_rule/triggers.csv.gz,v8-hysteresis_repair_pilot_v3-utility_restoration-large-high-high-high-scale_free-private_fragmented-8812506-generalized_information-51c1900045ef-uint8_simplex-frozen_local_rule/triggers.csv,gzip,da7dd3ec976bd5c35270d0b969149860a3c95ca401cc0487d85fb0ed7b62cb0f,44ca2fc829e64d91525684f3883765a0b751ff7aad845df26bc71a4c860b28b8,226406
