record_type,source,target,layer,role,incident,step,reliability,action,source_episode,cluster_id
agent_node,utility_restoration_critical_load_04_3,,service,critical_load,04,2,,,raw/development_dynamic/v6-development_dynamic-utility_restoration-compound-private_fragmented-e66101-combined_generalized_entropic_crossfit-c050-event_triggered/episode.json.gz,utility_restoration|compound|private_fragmented|66101
agent_node,utility_restoration_distribution_node_01_1,,service,distribution_node,01,2,,,raw/development_dynamic/v6-development_dynamic-utility_restoration-compound-private_fragmented-e66101-combined_generalized_entropic_crossfit-c050-event_triggered/episode.json.gz,utility_restoration|compound|private_fragmented|66101
agent_node,utility_restoration_communications_01_3,,telemetry,communications,01,2,,,raw/development_dynamic/v6-development_dynamic-utility_restoration-compound-private_fragmented-e66101-combined_generalized_entropic_crossfit-c050-event_triggered/episode.json.gz,utility_restoration|compound|private_fragmented|66101
agent_node,utility_restoration_communications_02_2,,telemetry,communications,02,2,,,raw/development_dynamic/v6-development_dynamic-utility_restoration-compound-private_fragmented-e66101-combined_generalized_entropic_crossfit-c050-event_triggered/episode.json.gz,utility_restoration|compound|private_fragmented|66101
agent_node,utility_restoration_communications_03_1,,telemetry,communications,03,2,,,raw/development_dynamic/v6-development_dynamic-utility_restoration-compound-private_fragmented-e66101-combined_generalized_entropic_crossfit-c050-event_triggered/episode.json.gz,utility_restoration|compound|private_fragmented|66101
agent_node,utility_restoration_cyber_defense_02_3,,telemetry,cyber_defense,02,2,,,raw/development_dynamic/v6-development_dynamic-utility_restoration-compound-private_fragmented-e66101-combined_generalized_entropic_crossfit-c050-event_triggered/episode.json.gz,utility_restoration|compound|private_fragmented|66101
agent_node,utility_restoration_cyber_defense_03_2,,telemetry,cyber_defense,03,2,,,raw/development_dynamic/v6-development_dynamic-utility_restoration-compound-private_fragmented-e66101-combined_generalized_entropic_crossfit-c050-event_triggered/episode.json.gz,utility_restoration|compound|private_fragmented|66101
agent_node,utility_restoration_cyber_defense_04_1,,telemetry,cyber_defense,04,2,,,raw/development_dynamic/v6-development_dynamic-utility_restoration-compound-private_fragmented-e66101-combined_generalized_entropic_crossfit-c050-event_triggered/episode.json.gz,utility_restoration|compound|private_fragmented|66101
agent_node,utility_restoration_field_crew_01_2,,restoration,field_crew,01,2,,,raw/development_dynamic/v6-development_dynamic-utility_restoration-compound-private_fragmented-e66101-combined_generalized_entropic_crossfit-c050-event_triggered/episode.json.gz,utility_restoration|compound|private_fragmented|66101
agent_node,utility_restoration_field_crew_02_1,,restoration,field_crew,02,2,,,raw/development_dynamic/v6-development_dynamic-utility_restoration-compound-private_fragmented-e66101-combined_generalized_entropic_crossfit-c050-event_triggered/episode.json.gz,utility_restoration|compound|private_fragmented|66101
agent_node,utility_restoration_resource_allocation_03_3,,restoration,resource_allocation,03,2,,,raw/development_dynamic/v6-development_dynamic-utility_restoration-compound-private_fragmented-e66101-combined_generalized_entropic_crossfit-c050-event_triggered/episode.json.gz,utility_restoration|compound|private_fragmented|66101
agent_node,utility_restoration_resource_allocation_04_2,,restoration,resource_allocation,04,2,,,raw/development_dynamic/v6-development_dynamic-utility_restoration-compound-private_fragmented-e66101-combined_generalized_entropic_crossfit-c050-event_triggered/episode.json.gz,utility_restoration|compound|private_fragmented|66101
service_incident,utility_restoration_incident_01,,service_zone,service incident,01,2,,,raw/development_dynamic/v6-development_dynamic-utility_restoration-compound-private_fragmented-e66101-combined_generalized_entropic_crossfit-c050-event_triggered/episode.json.gz,utility_restoration|compound|private_fragmented|66101
service_incident,utility_restoration_incident_02,,service_zone,service incident,02,2,,,raw/development_dynamic/v6-development_dynamic-utility_restoration-compound-private_fragmented-e66101-combined_generalized_entropic_crossfit-c050-event_triggered/episode.json.gz,utility_restoration|compound|private_fragmented|66101
service_incident,utility_restoration_incident_03,,service_zone,service incident,03,2,,,raw/development_dynamic/v6-development_dynamic-utility_restoration-compound-private_fragmented-e66101-combined_generalized_entropic_crossfit-c050-event_triggered/episode.json.gz,utility_restoration|compound|private_fragmented|66101
service_incident,utility_restoration_incident_04,,service_zone,service incident,04,2,,,raw/development_dynamic/v6-development_dynamic-utility_restoration-compound-private_fragmented-e66101-combined_generalized_entropic_crossfit-c050-event_triggered/episode.json.gz,utility_restoration|compound|private_fragmented|66101
service_scope_edge,utility_restoration_critical_load_04_3,utility_restoration_incident_04,service,critical_load,04,2,1.0,service_scope,raw/development_dynamic/v6-development_dynamic-utility_restoration-compound-private_fragmented-e66101-combined_generalized_entropic_crossfit-c050-event_triggered/episode.json.gz,utility_restoration|compound|private_fragmented|66101
