application,original_relative_path,archive_member,source_compression,stored_sha256,logical_sha256,logical_size_bytes
humanitarian,v8-pilots_v2-humanitarian-medium-medium-high-medium-random_geometric-private_fragmented-880203-age_of_information-e1d6ce4d93c3-fp16-frozen_local_rule/causal_chains.json.gz,v8-pilots_v2-humanitarian-medium-medium-high-medium-random_geometric-private_fragmented-880203-age_of_information-e1d6ce4d93c3-fp16-frozen_local_rule/causal_chains.json,gzip,d176340180fb6f5611de6cee809b69b8b15f527b7d89ad401603794c80b91e4f,ae48293592677dc80e7dff25b448cbf53e07bd77eb75f57fae202802e4317932,27509
humanitarian,v8-pilots_v2-humanitarian-medium-medium-high-medium-random_geometric-private_fragmented-880203-age_of_information-e1d6ce4d93c3-fp16-frozen_local_rule/decisions.csv.gz,v8-pilots_v2-humanitarian-medium-medium-high-medium-random_geometric-private_fragmented-880203-age_of_information-e1d6ce4d93c3-fp16-frozen_local_rule/decisions.csv,gzip,ee74631e1282044c8e1921202a89f1d7a0f26996c5fcdd8c3b2890de61984d2a,c778e430e08e7471d655f7263a609a89774203ca68025ef01f925d21ce1ba67c,78279
humanitarian,v8-pilots_v2-humanitarian-medium-medium-high-medium-random_geometric-private_fragmented-880203-age_of_information-e1d6ce4d93c3-fp16-frozen_local_rule/deliveries.csv.gz,v8-pilots_v2-humanitarian-medium-medium-high-medium-random_geometric-private_fragmented-880203-age_of_information-e1d6ce4d93c3-fp16-frozen_local_rule/deliveries.csv,gzip,47b723ba205361a7f58eee5c467c81fec4b37e1664b9a071cc1a5e7c77d944c8,2f63726f82c6decd37d0159c742e325b4b1091e45fda736f4fdd05c0d7d3f354,748108
humanitarian,v8-pilots_v2-humanitarian-medium-medium-high-medium-random_geometric-private_fragmented-880203-age_of_information-e1d6ce4d93c3-fp16-frozen_local_rule/edge_communication.csv.gz,v8-pilots_v2-humanitarian-medium-medium-high-medium-random_geometric-private_fragmented-880203-age_of_information-e1d6ce4d93c3-fp16-frozen_local_rule/edge_communication.csv,gzip,1b0e8799c2e8a454c98e8d4680fae807e523d563d2d6eba92f4230e8cdeeb8f6,e89bd94f7781691c645b98e6fa99b626cc4e4019750871d4098aebf3123ce95c,6861
humanitarian,v8-pilots_v2-humanitarian-medium-medium-high-medium-random_geometric-private_fragmented-880203-age_of_information-e1d6ce4d93c3-fp16-frozen_local_rule/episode.json,v8-pilots_v2-humanitarian-medium-medium-high-medium-random_geometric-private_fragmented-880203-age_of_information-e1d6ce4d93c3-fp16-frozen_local_rule/episode.json,plain,112485c08cf8776113ee54204a2cb1a1277fb609306363bcb734f15ba3159b60,112485c08cf8776113ee54204a2cb1a1277fb609306363bcb734f15ba3159b60,7216
humanitarian,v8-pilots_v2-humanitarian-medium-medium-high-medium-random_geometric-private_fragmented-880203-age_of_information-e1d6ce4d93c3-fp16-frozen_local_rule/estimation.csv.gz,v8-pilots_v2-humanitarian-medium-medium-high-medium-random_geometric-private_fragmented-880203-age_of_information-e1d6ce4d93c3-fp16-frozen_local_rule/estimation.csv,gzip,68deb0ad4c313ae93bde221eb3f85d9ffe751afacd79489b1be0c3ef0d257710,b49aca6fcc2c513678130bdab5bb7d91080baba86be7dfd019bac5d70a210ebd,173487
humanitarian,v8-pilots_v2-humanitarian-medium-medium-high-medium-random_geometric-private_fragmented-880203-age_of_information-e1d6ce4d93c3-fp16-frozen_local_rule/events.jsonl.xz,v8-pilots_v2-humanitarian-medium-medium-high-medium-random_geometric-private_fragmented-880203-age_of_information-e1d6ce4d93c3-fp16-frozen_local_rule/events.jsonl,xz,b6e2c5917955c47199b588001a7fc777215e5de1ca7b1a1c90bb66d156baf85c,bbf3c42fa3dbd58db62958a29f8f0d9d1670fb336a191b6a9279ce54c7b7ee1b,9903770
humanitarian,v8-pilots_v2-humanitarian-medium-medium-high-medium-random_geometric-private_fragmented-880203-age_of_information-e1d6ce4d93c3-fp16-frozen_local_rule/triggers.csv.gz,v8-pilots_v2-humanitarian-medium-medium-high-medium-random_geometric-private_fragmented-880203-age_of_information-e1d6ce4d93c3-fp16-frozen_local_rule/triggers.csv,gzip,1e3e4daa7803bad6a951b9ed4cb9cd2ffb6efb4772528e671fff7ecfa55fdec7,9355c8f3c360293d6ac7898ee0d817f7b61eb4dd2a254ea75f0a7d3e017566c3,76595
humanitarian,v8-pilots_v2-humanitarian-medium-medium-high-medium-random_geometric-private_fragmented-880203-age_of_information-e27491322545-fp16-frozen_local_rule/causal_chains.json.gz,v8-pilots_v2-humanitarian-medium-medium-high-medium-random_geometric-private_fragmented-880203-age_of_information-e27491322545-fp16-frozen_local_rule/causal_chains.json,gzip,3f830f8fed077d842a6e12fe67ccc6ad06f96b99b8a5ce9ec3c48f574efb9c22,6041b6f16bd57906d6526a952bc02f5cb7eae1aa71a80081d9ee685a63fd9de9,27252
humanitarian,v8-pilots_v2-humanitarian-medium-medium-high-medium-random_geometric-private_fragmented-880203-age_of_information-e27491322545-fp16-frozen_local_rule/decisions.csv.gz,v8-pilots_v2-humanitarian-medium-medium-high-medium-random_geometric-private_fragmented-880203-age_of_information-e27491322545-fp16-frozen_local_rule/decisions.csv,gzip,88dc01585bf332b85c476fe9a2ff402a59f107b27e8db19f5b9cf3d6c14bd82d,d8905c61aed2b74857825f0754164670825b76f52a242630acac44eebf21e099,78292
humanitarian,v8-pilots_v2-humanitarian-medium-medium-high-medium-random_geometric-private_fragmented-880203-age_of_information-e27491322545-fp16-frozen_local_rule/deliveries.csv.gz,v8-pilots_v2-humanitarian-medium-medium-high-medium-random_geometric-private_fragmented-880203-age_of_information-e27491322545-fp16-frozen_local_rule/deliveries.csv,gzip,f77731deaec3933f39210e02c196ccb3ad422c2a7a75cdff597f81513e92d408,4c44ba62315bbf9f595128c013f2560dee2d98a466087ee2d894112bb43ac867,539951
humanitarian,v8-pilots_v2-humanitarian-medium-medium-high-medium-random_geometric-private_fragmented-880203-age_of_information-e27491322545-fp16-frozen_local_rule/edge_communication.csv.gz,v8-pilots_v2-humanitarian-medium-medium-high-medium-random_geometric-private_fragmented-880203-age_of_information-e27491322545-fp16-frozen_local_rule/edge_communication.csv,gzip,89c4278f8f38c9cca475b698d26cf3f9be6c4b4dab7972ac41a4c40139116fa0,142079074d6bc5f796be1dc453181bf2c82ebf592c65845fb8bc35c52ba41a3d,6834
humanitarian,v8-pilots_v2-humanitarian-medium-medium-high-medium-random_geometric-private_fragmented-880203-age_of_information-e27491322545-fp16-frozen_local_rule/episode.json,v8-pilots_v2-humanitarian-medium-medium-high-medium-random_geometric-private_fragmented-880203-age_of_information-e27491322545-fp16-frozen_local_rule/episode.json,plain,bc686a4e0bbb6c9952c7fd1dcc7761b886e8c139e6b0b81d492307f6f173ed27,bc686a4e0bbb6c9952c7fd1dcc7761b886e8c139e6b0b81d492307f6f173ed27,7239
humanitarian,v8-pilots_v2-humanitarian-medium-medium-high-medium-random_geometric-private_fragmented-880203-age_of_information-e27491322545-fp16-frozen_local_rule/estimation.csv.gz,v8-pilots_v2-humanitarian-medium-medium-high-medium-random_geometric-private_fragmented-880203-age_of_information-e27491322545-fp16-frozen_local_rule/estimation.csv,gzip,c4f380f965325ad2716c552dbb22140995aa68a9bb02883d660467b50491ae9a,d6f3efdb243c441c3ead62d55a2a4261df9079bcda261d034b433c970e12e8ac,173507
