application,original_relative_path,archive_member,source_compression,stored_sha256,logical_sha256,logical_size_bytes
humanitarian,v8-hysteresis_repair_pilot_v3-humanitarian-medium-high-medium-high-small_world-private_fragmented-8812404-generalized_information-f885a39c000a-uint8_simplex-frozen_local_rule/causal_chains.json.gz,v8-hysteresis_repair_pilot_v3-humanitarian-medium-high-medium-high-small_world-private_fragmented-8812404-generalized_information-f885a39c000a-uint8_simplex-frozen_local_rule/causal_chains.json,gzip,c687501175acfa6671ba8153de3befe1c2111c9ee209d98d5ad2c6469876c208,a9d4a5e16f67683b66574f6dc9119b53f7e12ab3ea1039cb5375323e6ac8c4e3,24884
humanitarian,v8-hysteresis_repair_pilot_v3-humanitarian-medium-high-medium-high-small_world-private_fragmented-8812404-generalized_information-f885a39c000a-uint8_simplex-frozen_local_rule/decisions.csv.gz,v8-hysteresis_repair_pilot_v3-humanitarian-medium-high-medium-high-small_world-private_fragmented-8812404-generalized_information-f885a39c000a-uint8_simplex-frozen_local_rule/decisions.csv,gzip,f50f2b84d58ffc65ad3839b6ae2bccf60bacd6930a6808a5f06332069923ae6c,d726e31ac1b09d4abd1512735d5e3afcb095cbdf4af0f6bcc8df22aa5eb8b8ad,82375
humanitarian,v8-hysteresis_repair_pilot_v3-humanitarian-medium-high-medium-high-small_world-private_fragmented-8812404-generalized_information-f885a39c000a-uint8_simplex-frozen_local_rule/deliveries.csv.gz,v8-hysteresis_repair_pilot_v3-humanitarian-medium-high-medium-high-small_world-private_fragmented-8812404-generalized_information-f885a39c000a-uint8_simplex-frozen_local_rule/deliveries.csv,gzip,12da49cb5e5bd2a3d6c4dfa71f546d1c285f94e69d568427ac377319d2b31d03,32f424380ab90df7e226fa094a7ad352da10535a4b8097a958c87f7dee84c433,3109531
humanitarian,v8-hysteresis_repair_pilot_v3-humanitarian-medium-high-medium-high-small_world-private_fragmented-8812404-generalized_information-f885a39c000a-uint8_simplex-frozen_local_rule/edge_communication.csv.gz,v8-hysteresis_repair_pilot_v3-humanitarian-medium-high-medium-high-small_world-private_fragmented-8812404-generalized_information-f885a39c000a-uint8_simplex-frozen_local_rule/edge_communication.csv,gzip,4956bbd229d8aa61f9c747a6d5aedcffbacad48d8f37c025f12d8b61f40c6e52,361b9e029912dbb09a01d2300e447dede5924438c937f5aaf7860f70d10a10e6,7439
humanitarian,v8-hysteresis_repair_pilot_v3-humanitarian-medium-high-medium-high-small_world-private_fragmented-8812404-generalized_information-f885a39c000a-uint8_simplex-frozen_local_rule/episode.json,v8-hysteresis_repair_pilot_v3-humanitarian-medium-high-medium-high-small_world-private_fragmented-8812404-generalized_information-f885a39c000a-uint8_simplex-frozen_local_rule/episode.json,plain,0e587fe4393b9493fa51718630fe28d70be75a1e8f0dc19a2d03a3a12ef27b96,0e587fe4393b9493fa51718630fe28d70be75a1e8f0dc19a2d03a3a12ef27b96,8209
humanitarian,v8-hysteresis_repair_pilot_v3-humanitarian-medium-high-medium-high-small_world-private_fragmented-8812404-generalized_information-f885a39c000a-uint8_simplex-frozen_local_rule/estimation.csv.gz,v8-hysteresis_repair_pilot_v3-humanitarian-medium-high-medium-high-small_world-private_fragmented-8812404-generalized_information-f885a39c000a-uint8_simplex-frozen_local_rule/estimation.csv,gzip,f950a8240433d175d53597da972fc247648b2d72eeb4e05343919e9492f57c28,7f5f4df42cc2f88ffbc6d9926e64f5c4c7b470752686cfc2bb47dd979d166456,174378
humanitarian,v8-hysteresis_repair_pilot_v3-humanitarian-medium-high-medium-high-small_world-private_fragmented-8812404-generalized_information-f885a39c000a-uint8_simplex-frozen_local_rule/events.jsonl.xz,v8-hysteresis_repair_pilot_v3-humanitarian-medium-high-medium-high-small_world-private_fragmented-8812404-generalized_information-f885a39c000a-uint8_simplex-frozen_local_rule/events.jsonl,xz,930a041495cc845ee82a8996edf8edd1e10b5f8cfe2eaa74306b0f7584110cfd,38d5300097f106a0dbd162251063c5a97dba9e02ee8d19c32dc99c344cc41a24,27581538
humanitarian,v8-hysteresis_repair_pilot_v3-humanitarian-medium-high-medium-high-small_world-private_fragmented-8812404-generalized_information-f885a39c000a-uint8_simplex-frozen_local_rule/triggers.csv.gz,v8-hysteresis_repair_pilot_v3-humanitarian-medium-high-medium-high-small_world-private_fragmented-8812404-generalized_information-f885a39c000a-uint8_simplex-frozen_local_rule/triggers.csv,gzip,a67947d2ccc855f2e9bd5465afac0a5f12e40947ecc63165c402c013542aad68,d14f928310d5aaa31964eb191d31101193d0e48f7dad9ccbc8b181431360ca97,91225
humanitarian,v8-hysteresis_repair_pilot_v3-humanitarian-medium-high-medium-high-small_world-private_fragmented-8812404-kpi_change-314c8c128df2-uint8_simplex-frozen_local_rule/causal_chains.json.gz,v8-hysteresis_repair_pilot_v3-humanitarian-medium-high-medium-high-small_world-private_fragmented-8812404-kpi_change-314c8c128df2-uint8_simplex-frozen_local_rule/causal_chains.json,gzip,680111724bd69bcf623cfb4f8a453fb4d16f6db47e1c1f23e20c280e604744bc,ba264488d325dd15108bba21633e8599a43223b3271f66d5f88290e07386bddc,25279
humanitarian,v8-hysteresis_repair_pilot_v3-humanitarian-medium-high-medium-high-small_world-private_fragmented-8812404-kpi_change-314c8c128df2-uint8_simplex-frozen_local_rule/decisions.csv.gz,v8-hysteresis_repair_pilot_v3-humanitarian-medium-high-medium-high-small_world-private_fragmented-8812404-kpi_change-314c8c128df2-uint8_simplex-frozen_local_rule/decisions.csv,gzip,13f76744b0fa209b12701fd091605773004e8209b9f045283ac35fd74606c059,583ad027c8e2026b02cb7d85ceecd9df9718edaeb051de270116fcfa93ce1b60,76897
