application,fold,feature_block,model_key,panel_id,selected_c,training_panels,test_panels,panel_disjoint,environment_seed_disjoint
humanitarian,1,strongest_nonentropic,strongest_nonentropic-fold-1,humanitarian|787001|random_geometric|medium|low|low|low|private_fragmented,1.0,40,10,True,True
humanitarian,1,strongest_nonentropic,strongest_nonentropic-fold-1,humanitarian|787005|modular|medium|low|medium|medium|private_fragmented,1.0,40,10,True,True
humanitarian,1,strongest_nonentropic,strongest_nonentropic-fold-1,humanitarian|787011|modular|medium|medium|low|medium|private_fragmented,1.0,40,10,True,True
humanitarian,1,strongest_nonentropic,strongest_nonentropic-fold-1,humanitarian|787014|random_geometric|medium|medium|medium|medium|private_fragmented,1.0,40,10,True,True
humanitarian,1,strongest_nonentropic,strongest_nonentropic-fold-1,humanitarian|787023|small_world|medium|high|medium|high|private_fragmented,1.0,40,10,True,True
humanitarian,1,strongest_nonentropic,strongest_nonentropic-fold-1,humanitarian|787027|random_geometric|medium|high|high|high|private_fragmented,1.0,40,10,True,True
humanitarian,1,strongest_nonentropic,strongest_nonentropic-fold-1,humanitarian|787031|random_geometric|medium|high|high|high|private_fragmented,1.0,40,10,True,True
humanitarian,1,strongest_nonentropic,strongest_nonentropic-fold-1,humanitarian|787040|random_geometric|small|high|high|high|private_fragmented,1.0,40,10,True,True
humanitarian,1,strongest_nonentropic,strongest_nonentropic-fold-1,humanitarian|787042|small_world|large|high|high|high|private_fragmented,1.0,40,10,True,True
humanitarian,1,strongest_nonentropic,strongest_nonentropic-fold-1,humanitarian|787047|modular|medium|high|high|high|public_shared,1.0,40,10,True,True
humanitarian,1,generalized_entropic,generalized_entropic-fold-1,humanitarian|787001|random_geometric|medium|low|low|low|private_fragmented,1.0,40,10,True,True
humanitarian,1,generalized_entropic,generalized_entropic-fold-1,humanitarian|787005|modular|medium|low|medium|medium|private_fragmented,1.0,40,10,True,True
humanitarian,1,generalized_entropic,generalized_entropic-fold-1,humanitarian|787011|modular|medium|medium|low|medium|private_fragmented,1.0,40,10,True,True
humanitarian,1,generalized_entropic,generalized_entropic-fold-1,humanitarian|787014|random_geometric|medium|medium|medium|medium|private_fragmented,1.0,40,10,True,True
humanitarian,1,generalized_entropic,generalized_entropic-fold-1,humanitarian|787023|small_world|medium|high|medium|high|private_fragmented,1.0,40,10,True,True
humanitarian,1,generalized_entropic,generalized_entropic-fold-1,humanitarian|787027|random_geometric|medium|high|high|high|private_fragmented,1.0,40,10,True,True
humanitarian,1,generalized_entropic,generalized_entropic-fold-1,humanitarian|787031|random_geometric|medium|high|high|high|private_fragmented,1.0,40,10,True,True
humanitarian,1,generalized_entropic,generalized_entropic-fold-1,humanitarian|787040|random_geometric|small|high|high|high|private_fragmented,1.0,40,10,True,True
humanitarian,1,generalized_entropic,generalized_entropic-fold-1,humanitarian|787042|small_world|large|high|high|high|private_fragmented,1.0,40,10,True,True
humanitarian,1,generalized_entropic,generalized_entropic-fold-1,humanitarian|787047|modular|medium|high|high|high|public_shared,1.0,40,10,True,True
humanitarian,2,strongest_nonentropic,strongest_nonentropic-fold-2,humanitarian|787002|small_world|medium|low|low|low|private_fragmented,1.0,40,10,True,True
humanitarian,2,strongest_nonentropic,strongest_nonentropic-fold-2,humanitarian|787008|random_geometric|medium|low|high|high|private_fragmented,1.0,40,10,True,True
humanitarian,2,strongest_nonentropic,strongest_nonentropic-fold-2,humanitarian|787016|random_geometric|medium|medium|high|high|private_fragmented,1.0,40,10,True,True
