filename,purpose,source_table,estimand,recommendation,supported_claim,important_limitation,pdf_sha256,source_sha256
figure01_architecture.pdf,Define agent boundaries and the augmented-to-macrostate projection,source_data/figure01_architecture.csv,state and information-flow definitions,main,LLM decisions are local while macroscopic analysis is evaluator-side,The projection need not be Markov,21cc957a2c27712b16eee58a35ee6c833109f9005241eadab1c88100521e460b,c16d75a74125cd3ba74942f64dc543a132d2a355e60870799fd34e1632220e87
figure02_memory_evidence_stages.pdf,"Separate memory discovery, replication, and cross-model extension",source_data/figure02_memory_evidence_stages.csv,persistent minus Markovized adjusted block divergence,main,Memory-associated temporal asymmetry is evaluated across distinct study roles,Discovery and replication are not prospectively pooled with the cross-model stage,bd04b93cd999886389e524870d1b577da57b5a7afc4bd1959312b036f411b140,9746b9cab47c58950fac96da2f5cf1b6af29594d5a6cbd2a8795a972510164e0
figure03_corrected_quench_time_series.pdf,Show corrected-quench and counter-quench response in complementary coordinates,source_data/figure03_corrected_quench_time_series.csv,cluster-mean time-resolved observables,main,"Field reversal drives energy, entropy, and distance pulses",Derived corrected-quench trajectories; correction does not alter raw choices,307cdf8aa2cbd9e87f80494e224a30faad86ca97a188bc70905c5e7fb0fb25c7,0f7318f4641a1fa95d287ed3e178b67f11f1303148ca61e8841dc00a55f90d01
figure04_cross_model_quench.pdf,Compare matched field quench response across model families,source_data/figure04_cross_model_quench.csv,model-specific LOCO macrostate distance,main,Independent-model replication is assessed without cross-model scale pooling,Distances are fitted within model,b7bd3b5367ebc9ce22271c262f40b86ad255921dd83401c1a9198b68cd1b662b,71b5d9b9b0c47a531270d8cf2a2782e61c64e07ecfb51e9856d1eaeee42c8537
figure05_graph_distance_correlations.pdf,Relate microscopic belief covariance to modular graph distance,source_data/figure05_graph_distance_correlations.csv,per-trajectory connected correlations summarized across six clusters,main_candidate,"Within persistent-history field trajectories, quench phases can reorganize spatial covariance beyond mean magnetization",One finite N=16 reciprocal modular topology; node labels align only by predefined community across graph realizations; no correlation-length scaling,6271b8b469a52caa8d263bc23995dccde5249b51bd0ac864395c9393c3df3f13,c3fd12ca890eb1f7f840b9227023f3d608a37a62066927d9acaacade232d7473
figure06_memory_controls.pdf,Test genuine memory against Markovized and prompt-matched scrambled history,source_data/figure06_memory_controls.csv,paired cluster differences,main,Separates historical content from prompt length and format,"Coarse-grained temporal asymmetry, not exact entropy production",9e09c0218736c903c8b6afb860db31ef81347590bcc94f72c6b6189bbefb47ed,fdd52dc2b59879645887087367577b7fc2292722aec68f9e29cbfd996cd62bdb
figure07_confirmatory_effects.pdf,Show formal effects without mixing incompatible units,source_data/figure07_confirmatory_effects.csv,H1-H4 cluster-level effects and 95% intervals,main,"Formal dispositions remain visible whether positive, null, or mixed",Separate axes are required for distance and information units,8975f000f27d181ba9c99141657f6abf16fae862dba9506e059b9abde4b7714d,dc10bd56902d03500a03c2d023ddc5b9067fe1c92bbf38b6476b4d1d308b12fd
figure08_direct_surrogate_quench.pdf,Evaluate a replication-fitted kinetic closure out of sample on corrected-quench paths,source_data/figure08_direct_surrogate_quench.csv,time-resolved shared observables,main,Surrogate successes and failures are compared without quench refitting,The surrogate uses Qwen microscopic data and is not a cross-model replacement,22b9ac164083292048c9ccf2aed5e94fb3864583aab5103de61974b244f0cde8,0bd36695aaf56f0cb2eb9cc7b8c53ef8fd3e97c22910030f7ddde2aaa038c0ca
figure09_cluster_recovery.pdf,Expose corrected-quench cluster heterogeneity and protocol-consistent recovery,source_data/figure09_cluster_recovery.csv,cluster trajectories with training-only thresholds,main,All recovery statements use held-out-cluster-excluded thresholds,Distance scale is metric-specific; historical H3 sign test is invalid,1cf7771a3a539c9aef45e4f464b4e63e85d1ebbdfbf7eab7e58a7108e2cfbe4e,9cce0bfd41c28b1d3e727a597202a76c0e046cf10cba4349350fa90f571d47b2
figure10_delayed_audit.pdf,Report delayed prespecified dependence and permutation audits,source_data/figure10_delayed_audit.csv,window sensitivity and cluster-preserving nulls,supplement,Raw and bias-adjusted dependence plus full-pipeline permutation results are explicit,Completed after formal outcomes because of implementation omissions,ab806f1aafa705e856af81417fbf4db925668218084ef81a9f877d00b56f7895,9020ecf9216c348cd21af6b4454963ca22f124808b8a979646faaf5172f32e0d
