application,original_relative_path,archive_member,source_compression,stored_sha256,logical_sha256,logical_size_bytes
humanitarian,v8-development_final-humanitarian-medium-high-medium-low-random_geometric-private_fragmented-8810012-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/causal_chains.json.gz,v8-development_final-humanitarian-medium-high-medium-low-random_geometric-private_fragmented-8810012-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/causal_chains.json,gzip,c6a5f7584000750ff86b46989d0a9d0be6131f5da3a42aa3c6388937a10b9a21,c647de316f830939e98a43e88f61a9478b028e28290546a4a5d0544a212912c2,24983
humanitarian,v8-development_final-humanitarian-medium-high-medium-low-random_geometric-private_fragmented-8810012-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/decisions.csv.gz,v8-development_final-humanitarian-medium-high-medium-low-random_geometric-private_fragmented-8810012-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/decisions.csv,gzip,007d04adeaaac1b690e106cfaa9106f52b67bd777b3ec561aabe1403057deb14,5e84c77cad277cdec18261586bc3931b43ffc1c090ef885f4969faa3faecedf3,76910
humanitarian,v8-development_final-humanitarian-medium-high-medium-low-random_geometric-private_fragmented-8810012-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/deliveries.csv.gz,v8-development_final-humanitarian-medium-high-medium-low-random_geometric-private_fragmented-8810012-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/deliveries.csv,gzip,f38fb0a5947dd1f95bf4bb7ad3d4cee68591ca60fd183300bbd08bbef971731b,f0eeae2f37cbc73f1562a65d29465fc4d67c2a6a519fe93d3253bcfd37336bc8,2874818
humanitarian,v8-development_final-humanitarian-medium-high-medium-low-random_geometric-private_fragmented-8810012-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/edge_communication.csv.gz,v8-development_final-humanitarian-medium-high-medium-low-random_geometric-private_fragmented-8810012-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/edge_communication.csv,gzip,0e147a9a438e8a2a043c67314ddc0d3ae64eb9d6f399880ebb7aefe78476fcb3,8a8ec12438313570a3ff5cdfc1ef7df702be61ea40048d4a3a809ccfea10b553,6550
humanitarian,v8-development_final-humanitarian-medium-high-medium-low-random_geometric-private_fragmented-8810012-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/episode.json,v8-development_final-humanitarian-medium-high-medium-low-random_geometric-private_fragmented-8810012-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/episode.json,plain,ca1b855f5e17d6f53669ed5558be0787b07bef1b120706f0a2ed156e3ece807d,ca1b855f5e17d6f53669ed5558be0787b07bef1b120706f0a2ed156e3ece807d,7653
humanitarian,v8-development_final-humanitarian-medium-high-medium-low-random_geometric-private_fragmented-8810012-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/estimation.csv.gz,v8-development_final-humanitarian-medium-high-medium-low-random_geometric-private_fragmented-8810012-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/estimation.csv,gzip,5e830109d790b97b65918f48b1ffb408872fcddbe15201ce0e4ef9f910851071,122c7b38afaf274acccbdbf25364de79801282553c7e1d7fa6164a855f65a616,173231
humanitarian,v8-development_final-humanitarian-medium-high-medium-low-random_geometric-private_fragmented-8810012-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/events.jsonl.xz,v8-development_final-humanitarian-medium-high-medium-low-random_geometric-private_fragmented-8810012-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/events.jsonl,xz,f283a57b8baaf5145600467dfc8f8811f7febc56addbb19e0bc579f9ad1366a7,8467b90366f79e65600078634d9ea492cbcdc2ccac1b72714a7284cc042a3769,24924311
humanitarian,v8-development_final-humanitarian-medium-high-medium-low-random_geometric-private_fragmented-8810012-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/triggers.csv.gz,v8-development_final-humanitarian-medium-high-medium-low-random_geometric-private_fragmented-8810012-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/triggers.csv,gzip,c3e532e63a260d49e154dcf406cbb63509f227b39dc562c4e65e0b017526f879,d717655ae3531dbead141c65b92e6add5ef657c529a6716c9f55e97b06ec2535,66250
humanitarian,v8-development_final-humanitarian-medium-high-medium-low-random_geometric-private_fragmented-8810012-generalized_information-347f2bd91f38-uint8_simplex-frozen_local_rule/causal_chains.json.gz,v8-development_final-humanitarian-medium-high-medium-low-random_geometric-private_fragmented-8810012-generalized_information-347f2bd91f38-uint8_simplex-frozen_local_rule/causal_chains.json,gzip,60d43a9d3ecee5b2bdeb91d4362f94a457179e5a979b620462ee663057756854,181104a1be63b388dd106b8aacfbc16fea024f06dc033129bb7cfbcb33b22393,23948
humanitarian,v8-development_final-humanitarian-medium-high-medium-low-random_geometric-private_fragmented-8810012-generalized_information-347f2bd91f38-uint8_simplex-frozen_local_rule/decisions.csv.gz,v8-development_final-humanitarian-medium-high-medium-low-random_geometric-private_fragmented-8810012-generalized_information-347f2bd91f38-uint8_simplex-frozen_local_rule/decisions.csv,gzip,35d7edcd47824886093a9d1f5e765ae29fdc890c452bb68ecda5ab021fafdfe1,8cd4a8b7e15994f5d6a8d65c6ee78cc9aa171f7120d22f674a2fb9ec65ab279f,82774
