property,v6_value,evidence,design_consequence
horizon_steps,12,V6PanelEnvironment default,Use at least 30/60/100 steps across the V7 ladder
decision_epochs,6,"steps 0;2;4;6;8;10",Use repeated decisions with delayed consequences
incident_count,4,formal episode summary,Use coupled network state rather than independent incident replication
agents_total,12,formal episode summary,Use persistent agents controlling multiple assets
agents_per_incident,3,_make_agents,Pool complementary beliefs over real neighborhoods and communities
agent_incident_scope,1,identity incident_scope,Give each V7 agent multiple assets or obligations
beliefs_per_incident_estimate,3 maximum,information_state,Use variable neighborhoods and missing/stale contributors
disruption_onset,step 2,_make_incidents,Use stochastic and multiple onset times
named_topology_families,5 per application,seed modulo label,Generate structurally distinct graph families
actual_topology_structure,incident cliques plus lead ring,_make_communication_edges,Make graph structure application-specific and policy-relevant
cross_incident_ring_exercised,false,all exchange paths are incident-local,Require logged cross-community traffic and cross-location decisions
transition_function,shared across applications,V6PanelEnvironment,Implement separate humanitarian and utility transitions
action_effect,incident-local scalar deficit change,preview_direct_effect,Implement multi-stage flows and topology propagation
humanitarian_kpi_auc,0.860811,frozen private-fragmented development,Prevent evaluator leakage and create complementary private evidence
utility_kpi_auc,0.888196,frozen private-fragmented development,Measure residual opportunity before formal progression
humanitarian_dynamic_harm_reduction,0.022581,frozen V6 result,Retain V6 as low-complexity external boundary
utility_dynamic_harm_reduction,0.012235,frozen V6 result,Estimate prospective complexity interactions in V7
