current_path,proposed_final_path,disposition,referenced_by,historical_record_references,scientific_role,evidence_deletion_safe,replacement,sha256,bytes
scripts/analyze-doet-results.sh,,delete_after_reference_check,,,abandoned logistics workflow,"no active reference; functionality replaced by scripts/analyze-results.sh; historical manifests are records, not runtime dependencies",scripts/analyze-results.sh,cd563d06ab528df5fb4a7b570cb1ddefd0879304b125c9300b6929556f06402d,391
scripts/analyze-human-operator-results.sh,,delete_after_reference_check,,,abandoned human-operator workflow,"no active reference; functionality replaced by scripts/analyze-results.sh; historical manifests are records, not runtime dependencies",scripts/analyze-results.sh,1cf1818e0177b438f2992c782c6d9243ab1d1e3a34e2e333bb1ceabd5b1b9c8d,160
scripts/analyze-human-operator-v4-results.sh,,delete_after_reference_check,,,abandoned human-operator workflow,"no active reference; functionality replaced by scripts/analyze-results.sh; historical manifests are records, not runtime dependencies",scripts/analyze-results.sh,16f8cd14f038ab27637ca16d78eb3cc242536f509493bbf37709c2645479fa05,298
scripts/analyze-human-operator-v5-results.sh,,delete_after_reference_check,,,abandoned human-operator workflow,"no active reference; functionality replaced by scripts/analyze-results.sh; historical manifests are records, not runtime dependencies",scripts/analyze-results.sh,864975cda6b51e5ab181b70a0454e0318fd8b9c6b14ed0d9d7c36dca1f48cf39,611
scripts/analyze-results.sh,scripts/analyze-results.sh,retain,README.md; docs/reproducibility.md; thermoagent/statmech_llm/corrected_quench/reporting.py; thermoagent/statmech_llm/discovery/reporting.py; thermoagent/statmech_llm/replication/reporting.py; thermoagent/statmech_llm/reporting.py; thermoagent/statmech_llm/repository_audit.py; thermoagent/statmech_llm/workflow.py,,rebuild aggregate analyses and effective-model comparisons,retained in positive final workflow closure,scripts/analyze-results.sh,310ebbd7c360f2520b95f45e1a8dc1abb8e4c82493f30e53f389ef895bcc6115,1358
scripts/analyze-statmech-v12-repair1.py,,delete_after_reference_check,,results/JSTAT/stages/discovery/provenance/stage_record.md,consolidated final-study stage wrapper,"no active reference; functionality replaced by scripts/analyze-results.sh; historical manifests are records, not runtime dependencies",scripts/analyze-results.sh,9072c6380c02eef00b1d25e23bd5da4e266aff4a6a9b8dc2b36185520d6c073c,2423
scripts/analyze-statmech-v12.sh,,delete_after_reference_check,,results/JSTAT/stages/discovery/provenance/stage_record.md,consolidated final-study stage wrapper,"no active reference; functionality replaced by scripts/analyze-results.sh; historical manifests are records, not runtime dependencies",scripts/analyze-results.sh,82c6e78198ea172b4ba0243ee3c142f4be4d53c1622100a2a1fa52f553392e6d,322
scripts/analyze-statmech-v13.sh,,delete_after_reference_check,,results/JSTAT/stages/replication/provenance/preconsolidation_repository_manifest.csv; results/JSTAT/stages/replication/provenance/stage_record.md,consolidated final-study stage wrapper,"no active reference; functionality replaced by scripts/analyze-results.sh; historical manifests are records, not runtime dependencies",scripts/analyze-results.sh,31748e7f0c2de8addff96129231c5c804a166ed0c184d57db013f0eed35b09bb,326
scripts/analyze-statmech-v14.sh,,delete_after_reference_check,,results/JSTAT/stages/corrected_quench/corrections/scientific_audit_1_1/historical_original/report.md; results/JSTAT/stages/corrected_quench/provenance/preconsolidation_index.csv; results/JSTAT/stages/corrected_quench/provenance/preconsolidation_repository_manifest.csv; results/JSTAT/stages/corrected_quench/provenance/stage_record.md,consolidated final-study stage wrapper,"no active reference; functionality replaced by scripts/analyze-results.sh; historical manifests are records, not runtime dependencies",scripts/analyze-results.sh,69d4b0c32762c8b6c430a699cbd30bac63317c90a2d953df72d32a9d6418a395,501
scripts/analyze-statmech-v15.sh,,delete_after_reference_check,,results/JSTAT/stages/cross_model/provenance/preconsolidation_index.csv; results/JSTAT/stages/cross_model/provenance/preconsolidation_repository_manifest.csv,consolidated final-study stage wrapper,"no active reference; functionality replaced by scripts/analyze-results.sh; historical manifests are records, not runtime dependencies",scripts/analyze-results.sh,6e223cb765c460ffcc5166483aed1267d1579714619b9a34f722de63f9249a6a,473
